fold,train_accuracy,test_accuracy,train_f1,test_f1,train_pearson,test_pearson
1,0.7682511356262167,0.7181571815718157,0.7793652019460963,0.5953307392996109,0.5958244010505497,0.41333390820031823
2,0.7269040473679942,0.7055630936227951,0.725925925925926,0.5167037861915368,0.5146922153807326,0.3743398154712205
3,0.7928965293545248,0.6512261580381471,0.7821934163397578,0.6945107398568019,0.6501755163889623,0.36853253725794516
4,0.7567501824373631,0.5497953615279673,0.7268257148060463,0.6814671814671814,0.5817039004194503,0.36176939788577245
5,0.7796513984596676,0.6757865937072504,0.7779411764705882,0.5433526011560693,0.6241655169181176,0.3661340452264905
6,0.7405755978921768,0.7045143638850889,0.7198879551820728,0.6923076923076923,0.5485960409901259,0.46394298251977767
7,0.707823267126064,0.6894664842681258,0.6651180078052407,0.7345029239766082,0.4832609745105244,0.478391473858656
8,0.7948447758774418,0.6241426611796982,0.7974389755902361,0.5107142857142857,0.6505424387838785,0.327288836691974
9,0.767285401637351,0.7133058984910837,0.7576192486281131,0.717948717948718,0.6033208056603213,0.44838697432841357
10,0.7482574161128221,0.7225274725274725,0.7345299145299146,0.7560386473429952,0.5569427683364212,0.5383341941238038
11,0.761630734316745,0.760989010989011,0.7581215560490172,0.7938388625592417,0.5854885519057629,0.584565812331733
12,0.7676661264181524,0.5371900826446281,0.7755070080651476,0.5471698113207547,0.6021487660260357,0.28328454109564344
13,0.7177700348432056,0.7075862068965517,0.7108343711083437,0.7095890410958904,0.4967189557655295,0.46108414713042245
14,0.7538287010777085,0.8179310344827586,0.753688989784336,0.8413461538461539,0.5658618426000502,0.640165378339026
15,0.7596371882086168,0.754874651810585,0.763769500159185,0.7027027027027027,0.5818035390042674,0.5255896814945881
16,0.7358108655169622,0.7216783216783217,0.7331315940132493,0.7255172413793104,0.5329091550013024,0.49644630318253996
17,0.7633390008906161,0.5468531468531469,0.7495930780433478,0.6206088992974239,0.5828690185475758,0.18095595073106777
18,0.783318516123818,0.6277056277056277,0.794386072551576,0.410958904109589,0.628892069750608,0.3392867906169351
