fold,train_accuracy,test_accuracy,train_f1,test_f1,train_pearson,test_pearson
1,0.6940298507462687,0.5867208672086721,0.6983847753078523,0.49917898193760263,0.46250170186739187,0.2505952565002165
2,0.659339768026604,0.4789687924016282,0.664804469273743,0.35785953177257523,0.3917140165236054,0.029351065413832512
3,0.6519623743107363,0.6226158038147139,0.6285912080304603,0.6834285714285714,0.3747106210136351,0.3840550558069408
4,0.6700721641125436,0.4529331514324693,0.6264573579362893,0.5912334352701325,0.4062693754632838,0.1728272466463402
5,0.6544791244426429,0.5294117647058824,0.6778533635676492,0.410958904109589,0.3876700920045999,0.14031592893309625
6,0.6600729631130928,0.6484268125854993,0.6766905698203408,0.6649282920469362,0.38561981158746833,0.3419834258087913
7,0.6816376165383057,0.6703146374829001,0.6803418803418804,0.713436385255648,0.44435830714099234,0.4430088767917037
8,0.6970089973251196,0.541838134430727,0.7119741100323624,0.44884488448844884,0.47653003994180826,0.12703966888433774
9,0.6573721326092243,0.6323731138545954,0.6775989627030737,0.6839622641509434,0.3786378392621358,0.2661866496217382
10,0.6857675474144919,0.6662087912087912,0.6792952270659277,0.6896551724137931,0.43877564504773875,0.4460830287542566
11,0.6556978440590047,0.6565934065934066,0.672928857406837,0.715261958997722,0.38668692169963,0.3019458138457446
12,0.6694489465153971,0.512396694214876,0.667156262749898,0.36330935251798563,0.40388770931598705,0.07041508260699844
13,0.6612916295275909,0.6344827586206897,0.6384083044982699,0.6187050359712231,0.39354692941831204,0.34330898505219065
14,0.6619398752127056,0.6179310344827587,0.6466203625275284,0.657601977750309,0.386335453482652,0.3235925523100426
15,0.6556527372853903,0.7200557103064067,0.66424510423247,0.6587436332767402,0.3859335551673837,0.4585584311302833
16,0.6639138531293013,0.48951048951048953,0.6816473655955211,0.5780346820809249,0.3995793795955168,-0.022008264933441667
17,0.6829406525787386,0.6307692307692307,0.7079355608591885,0.7173447537473233,0.45932635466558064,0.2861120649568614
18,0.6573991756243434,0.5800865800865801,0.6785957995299113,0.41448692152917505,0.3860780493226826,0.44002914919873615
