fold,train_accuracy,test_accuracy,train_f1,test_f1,train_pearson,test_pearson
1,0.7453763789746918,0.6991869918699187,0.7382203319156033,0.5487804878048781,0.560009320859136,0.32478699004754363
2,0.7707843296293292,0.6255088195386703,0.7762470308788598,0.4344262295081967,0.6000644739696999,0.229659943891875
3,0.7160233538760947,0.6893732970027248,0.6831916048489235,0.8155339805825242,0.49946980956226594,0.21358989290736533
4,0.7003162247628314,0.927694406548431,0.6998050682261209,0.9624911535739561,0.4643029154728321,-0.3842567388642181
5,0.7870287798946088,0.6019151846785226,0.799969542374172,0.46994535519125685,0.6361507248946203,0.28248196617600374
6,0.7206323469801378,0.5704514363885089,0.7103714910068919,0.5436046511627907,0.5128400628201948,0.127143601836592
7,0.7510336441021483,0.4883720930232558,0.7362816659510519,0.5439024390243903,0.5810661491131635,-0.009829190410389781
8,0.7168679581745967,0.6570644718792867,0.7343524222374325,0.5059288537549407,0.4984165641246933,0.2664049043404216
9,0.7718245926886601,0.6104252400548696,0.7743848681574096,0.6441102756892231,0.6160102053745089,0.26573027663395676
10,0.7711946830928837,0.6428571428571429,0.7671368473150211,0.6596858638743456,0.6101909323756997,0.4023638131693932
11,0.7109742259685524,0.6730769230769231,0.7255233990147784,0.7076167076167076,0.5045135474486927,0.38511091796544417
12,0.7668557536466775,0.5564738292011019,0.7865568662363677,0.5413105413105413,0.6051816878819036,0.30319839247721964
13,0.7201199254517462,0.6565517241379311,0.7191413237924866,0.6546463245492372,0.5140238366320437,0.33007066517745765
14,0.7205250790049429,0.6358620689655172,0.7144631178077655,0.6683417085427136,0.507173647663046,0.3707241077716947
15,0.7813411078717201,0.6532033426183844,0.7863586010444691,0.6103286384976526,0.6297334823161538,0.35258867953274975
16,0.7740263946239171,0.6951048951048951,0.7829535733727351,0.699724517906336,0.6166038443558628,0.45415317919149445
17,0.7507894097643916,0.6405594405594406,0.7433716858429215,0.7035755478662054,0.5757192534894676,0.3643638456170128
18,0.7673159298472481,0.5800865800865801,0.78071444892985,0.2743142144638404,0.6037410317216296,0.03516682198294807
