fold,train_mse,test_mse,train_pearson,test_pearson
1,0.02556073681364405,0.0659712808022056,0.540131243339441,0.395423441893242
2,0.027572636699555904,0.037299828140362874,0.5215605225983176,0.4003763456188982
3,0.02635549535035639,0.017276307114343442,0.5685348667531775,0.5402804016340823
4,0.028089418153283887,0.030657902428852767,0.5016227352875953,0.2983942778034951
5,0.031968617569032354,0.030811084389889398,0.36645935021962356,0.27059697303914454
6,0.02437553445717272,0.03490078950877249,0.5955463801094264,0.2660604869059441
7,0.028455370489295653,0.029072353116241286,0.49269314136617964,0.4354701792492077
8,0.02196885955577349,0.0296942737709481,0.6810887357457623,0.3935026907509622
9,0.026276040437133056,0.026470382178221466,0.5776466097173975,0.2801283103121164
10,0.025992163624468493,0.02998111342997882,0.5588983171844187,0.47623447229614424
11,0.025232071710309112,0.04781688780750477,0.5480057987577339,0.4377678032153961
12,0.02633631140973761,0.015942850107832293,0.5829119672236909,0.08707800976732005
13,0.029037305823401662,0.017561557421164185,0.4948995982418773,0.4680733650885098
14,0.023580785203923812,0.0342896938415341,0.6199287754994397,0.3401052606149943
15,0.025388242300999612,0.0433064405262092,0.5418305043576165,0.43632430972628683
16,0.026930719698296406,0.029680853629170167,0.5500773539868449,0.1460738483242476
17,0.023712456614579838,0.019090497422532736,0.6042109538969117,0.6410696262877111
18,0.025973760065895874,0.05265756762203088,0.5389214556798834,0.5828263984292287
