fold,train_mse,train_pearson,test_mse,test_pearson
1,0.01462861593205027,0.2917302780234935,0.01779571265984306,0.2640586755856753
2,0.012560173975700502,0.49563379952416925,0.008841016221680105,0.4695922505647554
3,0.011369950608586026,0.5705462181987385,0.013394963403784271,0.026051171187766058
4,0.012764412984247242,0.5037688760554873,0.009855443567881077,0.1954182743314673
5,0.01442620803493297,0.3474577561387317,0.013580942456598036,0.2292646409490499
6,0.012618177503758625,0.5001714710869203,0.017557439529555994,0.3648127514968372
7,0.01363069450962531,0.4044447560600225,0.013466072049959435,0.24339504692107913
8,0.013033832818773704,0.479785412732417,0.012573147150000161,0.21465846500307392
9,0.012489118069192756,0.4964319286136555,0.011323964258299664,0.30670884752327315
10,0.00961128835064417,0.6529808129891617,0.02097155675078935,0.2679703884170748
11,0.012722928381274465,0.4630132200196615,0.023481561467063563,0.39744983046703714
12,0.009314665001440407,0.677859908187321,0.017581400268500576,0.06885589257036127
13,0.012652171003049937,0.5259441225158618,0.005225914411393232,0.15054143658818606
14,0.012688146783723488,0.3772124959529118,0.041780423765696656,0.40703273587325295
15,0.013903850573430668,0.41550873823329965,0.007881266047602654,0.2608067433329746
16,0.008354918812741016,0.7057272975118312,0.016377728950622686,0.1337452136345027
17,0.010414642973725543,0.6107804487090313,0.015469336546103716,0.3511282870806006
18,0.012316709252888521,0.4884293867005219,0.02470949828117043,-0.11576151399960319
