fold,train_mse,test_mse,train_pearson,test_pearson
1,0.01393078044049199,0.01616867523623527,0.3903864507093443,0.47550425983639855
2,0.014069776739006234,0.009843750681734603,0.42605312318068916,0.3112750991111694
3,0.013752282973935919,0.008038298371891534,0.43998787989562216,0.5639555562750208
4,0.014227392903016967,0.008652950564475076,0.40915578784686374,0.3498231255351908
5,0.01251534327249714,0.015957214295728484,0.5093586812163052,-0.1081667998297638
6,0.013470906246454882,0.015727243337027002,0.43745511442916446,0.5956163419025731
7,0.014006146150847831,0.01305009895575071,0.4056475372351039,0.34742443861587063
8,0.013659896713718275,0.0121023914745313,0.43008784667527783,0.2705467775957827
9,0.01335218036874463,0.01170055172028831,0.445807258222692,0.2499698378327441
10,0.013030857909930482,0.019483423995339772,0.45942875699998237,0.40918052625702045
11,0.01310185804150528,0.027906481394786714,0.4743568439566982,0.18418440780189624
12,0.013914839527637555,0.011673963672202095,0.42064512298528206,0.3149584454351335
13,0.012497672462483825,0.0046454975503940725,0.5381478987664029,0.4619694759453858
14,0.01203953547429599,0.040374176673143046,0.44175731131922746,0.6181803389402285
15,0.013992563643794715,0.009393430862533953,0.41375028848888334,0.20928950487374517
16,0.013460621836476519,0.014077441235816121,0.4500137570000458,-0.0440199226876444
17,0.011863067041540597,0.013262301347494784,0.5405632256726022,0.5773974472571282
18,0.01260692382600451,0.023367896247929888,0.4749684515170176,0.20660805428224954
