fold,train_mse,test_mse,train_pearson,test_pearson
1,0.007295899784296578,0.017309014198138576,0.7444417637650919,0.3272937806161441
2,0.008742404684556197,0.009999277202293511,0.6973718507939148,0.436057541943615
3,0.008488850836085535,0.011426328941665698,0.7113155041810816,0.11979311572881039
4,0.008088214776282973,0.012378531407127621,0.7169217496791119,-0.1368330910814241
5,0.008500849575586585,0.014879024337700148,0.7120855588223775,0.24826792730854
6,0.0063344420977387095,0.022782576159860127,0.7829817653644982,0.09142027838127743
7,0.00911767406147692,0.0134885626909114,0.6829586407668167,0.3731342597171213
8,0.012693417832815202,0.010467901972825109,0.49164331582961823,0.44523868506978725
9,0.007015774230046881,0.013559275486668526,0.7591627715610553,0.2182041783846587
10,0.0074342303867963345,0.01628974204721907,0.7415703824697919,0.5430573565786314
11,0.01096029133047564,0.02271039239953842,0.5660057437842027,0.2958887567041365
12,0.007073321117817689,0.027384534439809063,0.7577487171098863,0.12916361165856904
13,0.00875141491612,0.0051958233130252746,0.7031684312741482,0.4407694839051022
14,0.008133520037178476,0.03471310578488821,0.6763534015097437,0.5285483960349067
15,0.00729193736335409,0.009390387903219131,0.7643695200324487,0.3119942655433632
16,0.00689463899828051,0.013360612568776537,0.7696707376399141,0.37049600073668737
17,0.008149108421977302,0.01007783032458647,0.7174119305622653,0.6535594396955102
18,0.006517008716578262,0.022215868385297974,0.7739782337066886,0.1166107518659647
