Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7289972899728997,0.6078431372549019,0.4623293163661387
2,0.7611940298507462,0.6106194690265486,0.47594577906149615
3,0.670299727520436,0.7205542725173211,0.4276647436571734
4,0.5839017735334243,0.7136150234741784,0.32781621184709087
5,0.7373461012311902,0.7467018469656992,0.5199381951709938
6,0.6785225718194254,0.5472061657032755,0.34885589878056533
7,0.7209302325581395,0.7782608695652173,0.49578362179951885
8,0.5871056241426612,0.5057471264367817,0.32901592371905863
9,0.7091906721536351,0.7253886010362695,0.4432786071771417
10,0.7321428571428571,0.7686832740213523,0.5060274606476887
11,0.7362637362637363,0.7803203661327232,0.5080510659213928
12,0.5909090909090909,0.5701881331403763,0.340415056765512
13,0.7310344827586207,0.7317744154057771,0.49613432255274176
14,0.7944827586206896,0.8125786163522013,0.6372518087645529
15,0.733983286908078,0.6779089376053963,0.48132231253768487
16,0.7132867132867133,0.719562243502052,0.4700147390290788
17,0.5734265734265734,0.659217877094972,0.19323235907674258
18,0.6522366522366523,0.4382284382284382,0.3603218571935554
Mean ± Std,0.690847 ± 0.065122,0.673022 ± 0.101866,0.434633 ± 0.098592
