Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7100271002710027,0.570281124497992,0.4151344781407625
2,0.7421981004070556,0.6090534979423868,0.4611437228238173
3,0.6648501362397821,0.7172413793103448,0.3882945747736019
4,0.592087312414734,0.7218604651162791,0.3179074046998273
5,0.7168262653898769,0.721399730820996,0.5212831564116304
6,0.6484268125854993,0.5301645338208409,0.34101268120482037
7,0.7086183310533516,0.7661909989023051,0.47329897386515374
8,0.6145404663923183,0.49910873440285203,0.3195959150434857
9,0.7091906721536351,0.7210526315789474,0.43353805530464673
10,0.7733516483516484,0.7975460122699386,0.6350410736443659
11,0.7445054945054945,0.7822014051522248,0.5354891071033114
12,0.5633608815426997,0.5490753911806543,0.2868980905940893
13,0.7158620689655173,0.7253333333333334,0.45642613797722587
14,0.8096551724137931,0.8300492610837439,0.6456453367509908
15,0.7534818941504178,0.700507614213198,0.5210339382505811
16,0.7230769230769231,0.7195467422096318,0.4649609459676506
17,0.5706293706293706,0.6467203682393556,0.18997600568475648
18,0.6637806637806638,0.4358353510895884,0.3739364311815402
Mean ± Std,0.690248 ± 0.067989,0.669065 ± 0.108715,0.432256 ± 0.114708
