Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.32791327913279134,0.4897119341563786,0.3456295439099023
2,0.5061058344640434,0.0,-0.12192566989742784
3,0.5408719346049047,0.557161629434954,0.07516561381420933
4,0.3315143246930423,0.0,-0.10730265744911027
5,0.36388508891928867,0.0,0.13035292057030023
6,0.4911080711354309,0.0,0.056371483369875575
7,0.5567715458276333,0.7075812274368231,0.14641141250078044
8,0.5404663923182441,0.0,-0.2229394773265238
9,0.5130315500685871,0.6781504986400725,-0.005894351977260386
10,0.19917582417582416,0.0068143100511073255,-0.43624354440464264
11,0.532967032967033,0.6804511278195489,-0.23973456962307935
12,0.1418732782369146,0.24849215922798554,0.14249974905115678
13,0.5944827586206897,0.6361386138613861,0.24623514003302505
14,0.08551724137931034,0.0,-0.11735956807957029
15,0.6768802228412256,0.41708542713567837,0.26334404384048415
16,0.7188811188811188,0.009852216748768473,-0.060527471158483656
17,0.5650349650349651,0.7220732797140303,0.022273355694109265
18,0.9927849927849928,0.0,-0.012986943972925734
Mean ± Std,0.482181 ± 0.211404,0.286306 ± 0.303704,0.005743 ± 0.191255
