Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7140921409214093,0.5127020785219399,0.39750224677492174
2,0.621438263229308,0.5878877400295421,0.30990540671392947
3,0.7493188010899182,0.7479452054794521,0.5813472681428302
4,0.597544338335607,0.6450060168471721,0.2541161641556719
5,0.5868673050615595,0.5438066465256798,0.3782451959228272
6,0.4363885088919289,0.3905325443786982,-0.21227302611514903
7,0.6607387140902873,0.6657681940700808,0.35994820481917356
8,0.6035665294924554,0.5533230293663061,0.2775810665573071
9,0.5733882030178327,0.4876441515650741,0.16380865447797882
10,0.3804945054945055,0.47740440324449596,-0.06336812116056448
11,0.5961538461538461,0.5273311897106109,0.376733039356964
12,0.5771349862258953,0.3101123595505618,0.1628710028507823
13,0.7144827586206897,0.759581881533101,0.48000511272078117
14,0.5613793103448276,0.6900584795321637,0.2349948575118012
15,0.5779944289693594,0.4500907441016334,0.16259356726588864
16,0.5412587412587413,0.3787878787878788,-0.0020071636668741386
17,0.6657342657342658,0.6609929078014184,0.40229235121573464
18,0.5714285714285714,0.03257328990228013,0.1005453556145778
Mean ± Std,0.596078 ± 0.087953,0.523419 ± 0.171157,0.242491 ± 0.193824
