Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6802168021680217,0.46846846846846846,0.31681947510092523
2,0.582089552238806,0.5561959654178674,0.25244956943784425
3,0.5572207084468664,0.5817245817245817,0.0935725032555543
4,0.572987721691678,0.6269368295589988,0.24468920673916325
5,0.5567715458276333,0.5748031496062992,0.24720281068050975
6,0.5471956224350205,0.5627476882430648,0.07735491840110331
7,0.5567715458276333,0.6223776223776224,0.17305237449699687
8,0.5857338820301783,0.42585551330798477,0.21456134827128726
9,0.6145404663923183,0.6535141800246609,0.23781738329600519
10,0.6717032967032966,0.7649950835791544,0.3193628146840961
11,0.6538461538461539,0.7,0.30145524009112035
12,0.40082644628099173,0.2689075630252101,0.19679655423209397
13,0.6013793103448276,0.6571767497034401,0.2383484759768779
14,0.5710344827586207,0.7023923444976077,0.1563250593901312
15,0.628133704735376,0.545144804088586,0.2604724790730045
16,0.5160839160839161,0.4309210526315789,0.14851740015794243
17,0.6405594405594406,0.6936829558998808,0.3079053112205189
18,0.4603174603174603,0.015789473684210527,0.014712567697883214
Mean ± Std,0.577634 ± 0.068635,0.547313 ± 0.174531,0.211190 ± 0.084102
