Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6964769647696477,0.552,0.37329768586124706
2,0.6241519674355496,0.4404040404040404,0.26254737776827325
3,0.7125340599455041,0.8316041500399042,0.18210141184935014
4,0.8567530695770805,0.9203942380591357,0.31656893291284965
5,0.5636114911080712,0.5500705218617772,0.09513439817645514
6,0.6716826265389877,0.4174757281553398,0.2282467244464555
7,0.5075239398084815,0.49295774647887325,0.25751878853602234
8,0.654320987654321,0.46382978723404256,0.24789596956688126
9,0.6104252400548696,0.6141304347826086,0.274378800801943
10,0.5563186813186813,0.4945226917057903,0.3271339130312547
11,0.6785714285714286,0.7180722891566265,0.3396191433410308
12,0.6460055096418733,0.5965463108320251,0.33673818513490494
13,0.6386206896551724,0.6112759643916914,0.2941831287286105
14,0.6317241379310344,0.6482213438735178,0.3999164578413965
15,0.6713091922005571,0.6519174041297935,0.39449188412640646
16,0.7356643356643356,0.72,0.4799881086367301
17,0.6097902097902098,0.654275092936803,0.47316108009442104
18,0.5988455988455988,0.29797979797979796,0.09876908539030445
Mean ± Std,0.648018 ± 0.075030,0.593093 ± 0.146819,0.298983 ± 0.105066
