Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6558265582655827,0.5261194029850746,0.28168260333010176
2,0.6051560379918589,0.5388272583201268,0.33114122608199875
3,0.3065395095367847,0.35159235668789807,-0.4190322857299108
4,0.41609822646657574,0.3074433656957929,0.17881246955322766
5,0.5102599179206566,0.5513784461152882,0.04541236225341096
6,0.5841313269493844,0.5913978494623656,0.18433391619764453
7,0.49658002735978113,0.4604105571847507,-0.002069961503430716
8,0.5925925925925926,0.5533834586466165,0.28651341143482467
9,0.6227709190672154,0.6143057503506312,0.2962458156377163
10,0.521978021978022,0.614190687361419,0.25012168342920815
11,0.6167582417582418,0.6275033377837116,0.3612418540467728
12,0.5426997245179064,0.319672131147541,0.2398235876760454
13,0.5848275862068966,0.6360338573155986,0.18136949320638598
14,0.5558620689655173,0.687984496124031,0.2169312775984002
15,0.6476323119777159,0.5704584040747029,0.33160093613356956
16,0.6139860139860139,0.5053763440860215,0.3447747781831205
17,0.7272727272727273,0.7280334728033473,0.5200556527327445
18,0.6782106782106783,0.0,0.020921892439408014
Mean ± Std,0.571066 ± 0.095509,0.510228 ± 0.168414,0.202771 ± 0.196160
