Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7262872628726287,0.5910931174089069,0.4481811064054817
2,0.7449118046132972,0.5877192982456141,0.4258888832143726
3,0.6321525885558583,0.6793349168646081,0.396916157032045
4,0.626193724420191,0.7504553734061931,0.34592778035268346
5,0.7127222982216143,0.7300771208226221,0.4583661085277321
6,0.6497948016415869,0.5276752767527675,0.3442001377991136
7,0.7140902872777017,0.7725788900979326,0.47145193904098986
8,0.6117969821673526,0.5078260869565218,0.3192231231955165
9,0.6899862825788752,0.7167919799498746,0.4399964217923875
10,0.7596153846153846,0.7909199522102748,0.5791438899829195
11,0.7417582417582418,0.7848970251716247,0.5054852853680065
12,0.5564738292011019,0.5464788732394367,0.29530030309062894
13,0.7048275862068966,0.718421052631579,0.45203929139500476
14,0.8124137931034483,0.830423940149626,0.6583132137148344
15,0.7688022284122563,0.7077464788732394,0.5452301871363858
16,0.7328671328671329,0.7290780141843972,0.49833994034434037
17,0.558041958041958,0.639269406392694,0.15595411849087973
18,0.6493506493506493,0.43356643356643354,0.3423029076458205
Mean ± Std,0.688449 ± 0.070003,0.669131 ± 0.109378,0.426792 ± 0.113044
