Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7574525745257452,0.6215644820295984,0.4778687595516772
2,0.6865671641791045,0.574585635359116,0.4004616699738442
3,0.6634877384196185,0.7177142857142857,0.3920137018723508
4,0.6398362892223738,0.7630161579892281,0.3122237511310956
5,0.6976744186046512,0.711864406779661,0.4782035336088677
6,0.6333789329685362,0.5379310344827586,0.3599714249346848
7,0.7099863201094391,0.7639198218262806,0.49109343203642697
8,0.6310013717421125,0.5100182149362478,0.31726215463911267
9,0.7064471879286695,0.7198952879581152,0.4274995172819629
10,0.7843406593406593,0.8078335373317014,0.6551493047160181
11,0.7101648351648352,0.7502958579881657,0.48638456655941315
12,0.5523415977961432,0.5590230664857531,0.30081362207802453
13,0.7310344827586207,0.7361299052774019,0.5076386879203307
14,0.8151724137931035,0.8361858190709046,0.680412109325598
15,0.7506963788300836,0.6865148861646234,0.5064906197742957
16,0.7146853146853147,0.7174515235457064,0.4819808487918017
17,0.5888111888111888,0.6704035874439462,0.19740198732885145
18,0.6378066378066378,0.4308390022675737,0.32499156695616926
Mean ± Std,0.689494 ± 0.065852,0.673066 ± 0.107441,0.433215 ± 0.119011
