Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6991869918699187,0.5,0.3396047511716583
2,0.5834464043419267,0.5355521936459909,0.2827954390022137
3,0.5217983651226158,0.46412213740458014,0.02152437819891717
4,0.572987721691678,0.6356228172293364,0.25287705476920597
5,0.5745554035567716,0.5923984272608126,0.27897580608261185
6,0.5047879616963065,0.46449704142011833,0.000366738165072808
7,0.5444596443228454,0.5943970767356882,0.10343289326763917
8,0.6063100137174211,0.5176470588235295,0.24478740448411573
9,0.5747599451303155,0.5331325301204819,0.15947156116751332
10,0.6126373626373627,0.6921397379912664,0.33381117385658476
11,0.6414835164835165,0.6649550706033376,0.2866108361419055
12,0.4132231404958678,0.25,0.20827188738366653
13,0.6096551724137931,0.6852057842046718,0.24439096233042035
14,0.44413793103448274,0.5680600214362272,0.18876705381010578
15,0.6100278551532033,0.5205479452054794,0.25755497194641175
16,0.5804195804195804,0.44029850746268656,0.15234517196834868
17,0.5986013986013986,0.6178428761651131,0.2835211786198757
18,0.4834054834054834,0.02185792349726776,0.03583104285773343
Mean ± Std,0.565327 ± 0.068323,0.516571 ± 0.157793,0.204163 ± 0.101879
