Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.5555555555555556,0.5104477611940299,0.31452582101199383
2,0.5522388059701493,0.39338235294117646,0.12748382388480886
3,0.5899182561307902,0.6412395709177592,0.3645572077953292
4,0.4038199181446112,0.5404837013669821,0.07561706964816901
5,0.640218878248974,0.5832012678288431,0.30551323153660737
6,0.5649794801641587,0.44982698961937717,0.19827398273432736
7,0.6812585499316005,0.72294887039239,0.46524903318598376
8,0.5692729766803841,0.4713804713804714,0.17843403750916506
9,0.6406035665294925,0.6741293532338308,0.2878584492918661
10,0.6717032967032966,0.6978508217446271,0.3899675293881514
11,0.5576923076923077,0.5150602409638554,0.3755470689034671
12,0.5413223140495868,0.41061946902654867,0.09043536392358421
13,0.6013793103448276,0.5641025641025641,0.3072886915646809
14,0.6455172413793103,0.7147613762486127,0.3193064835391739
15,0.6713091922005571,0.6,0.4322699242095109
16,0.5174825174825175,0.5241379310344828,0.020684609569958247
17,0.634965034965035,0.698961937716263,0.349382137989798
18,0.6103896103896104,0.4375,0.40272201928286777
Mean ± Std,0.591646 ± 0.066375,0.563891 ± 0.105814,0.278062 ± 0.128037
