Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6626016260162602,0.5183752417794971,0.30593348180734853
2,0.5943012211668928,0.5306122448979592,0.27795980529862263
3,0.547683923705722,0.4876543209876543,0.06786656453493659
4,0.5798090040927695,0.6350710900473934,0.2708780643252374
5,0.5567715458276333,0.5803108808290155,0.2472810871502279
6,0.53077975376197,0.4763358778625954,0.10145304162560001
7,0.5923392612859097,0.6590389016018307,0.14430722115706374
8,0.5679012345679012,0.47587354409317806,0.22265020758802853
9,0.5967078189300411,0.5835694050991501,0.17761943065356217
10,0.6373626373626373,0.7191489361702128,0.3186791726060557
11,0.6208791208791209,0.6698564593301436,0.27954533147930577
12,0.4366391184573003,0.28371278458844135,0.1653722278788421
13,0.6110344827586207,0.6795454545454546,0.22661884638308716
14,0.46206896551724136,0.5894736842105263,0.17160941531641688
15,0.5877437325905293,0.4393939393939394,0.2185826533766747
16,0.5118881118881119,0.432520325203252,0.1261802135730249
17,0.6013986013986014,0.6194926568758344,0.2513012851878325
18,0.5093795093795094,0.011627906976744186,-0.002260655590110596
Mean ± Std,0.567072 ± 0.057316,0.521756 ± 0.162606,0.198421 ± 0.084414
