Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6829268292682927,0.5063291139240507,0.36869854864300666
2,0.5983717774762551,0.4676258992805755,0.24482063701202017
3,0.6852861035422343,0.8126520681265207,0.15039217709786412
4,0.7257844474761255,0.8372469635627531,0.018623316067512982
5,0.560875512995896,0.5446808510638298,0.11020162557711886
6,0.6210670314637483,0.4763705103969754,0.2803779736021552
7,0.5225718194254446,0.5653798256537983,0.21375869751193455
8,0.6721536351165981,0.49256900212314225,0.28064305926425526
9,0.607681755829904,0.6276041666666666,0.2902795896862971
10,0.6510989010989011,0.6743589743589744,0.3928059575917773
11,0.6565934065934066,0.691358024691358,0.3063160059227724
12,0.6694214876033058,0.5818815331010453,0.31341952464982714
13,0.6744827586206896,0.6685393258426966,0.3364626410567804
14,0.6317241379310344,0.638700947225981,0.45222003048648374
15,0.6810584958217271,0.6471494607087828,0.41809647415580864
16,0.7342657342657343,0.7076923076923077,0.4923370772707386
17,0.641958041958042,0.6981132075471698,0.39397205378613165
18,0.645021645021645,0.26785714285714285,0.05690492966668555
Mean ± Std,0.647908 ± 0.051353,0.605895 ± 0.131907,0.284463 ± 0.129419
