Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6517615176151762,0.5104761904761905,0.3319953125986415
2,0.6173677069199457,0.549520766773163,0.2882575858456662
3,0.5258855585831063,0.6753731343283582,0.09018284855949565
4,0.6180081855388813,0.7526501766784452,-0.07394805537510767
5,0.47332421340629277,0.5217391304347826,-0.003876781734073048
6,0.5896032831737346,0.620253164556962,0.23396673601320284
7,0.521203830369357,0.5192307692307693,0.07840121479228503
8,0.5912208504801097,0.547112462006079,0.27038003424165374
9,0.5802469135802469,0.592,0.2156043083849871
10,0.4697802197802198,0.5349397590361445,0.27855361754709135
11,0.6538461538461539,0.7,0.3197022015946583
12,0.3787878787878788,0.2545454545454545,0.15689324519472392
13,0.5462068965517242,0.55359565807327,0.2066550186410232
14,0.56,0.6881720430107527,0.2853051362618546
15,0.616991643454039,0.5250431778929189,0.2458809121061497
16,0.5020979020979021,0.46865671641791046,0.3088350501008047
17,0.7202797202797203,0.7487437185929648,0.5029518700677554
18,0.5829725829725829,0.020338983050847456,0.03362408918414785
Mean ± Std,0.566644 ± 0.078002,0.543466 ± 0.170365,0.209409 ± 0.136731
