Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7195121951219512,0.5818181818181818,0.4486573054095769
2,0.7476255088195387,0.573394495412844,0.4293561843894389
3,0.6389645776566758,0.6871310507674144,0.39825030997474764
4,0.6671214188267395,0.783303730017762,0.39717669175829695
5,0.7004103967168263,0.7166882276843467,0.47136694394839473
6,0.6443228454172366,0.5323741007194245,0.3399839060142499
7,0.7168262653898769,0.7717750826901875,0.4947504917778177
8,0.6035665294924554,0.492091388400703,0.29340972812559735
9,0.7091906721536351,0.7210526315789474,0.4516718008053375
10,0.7239010989010989,0.7294751009421265,0.61444855561734
11,0.7458791208791209,0.7856315179606026,0.526124944442089
12,0.5330578512396694,0.5473965287049399,0.29115381901809984
13,0.7034482758620689,0.7129506008010681,0.4606978346038144
14,0.8,0.8176100628930818,0.6673445413208607
15,0.7562674094707521,0.6835443037974683,0.5047698200069922
16,0.7398601398601399,0.7459016393442623,0.47892807995068776
17,0.5720279720279721,0.6433566433566433,0.19976901273837827
18,0.6479076479076479,0.4377880184331797,0.33742252263286326
Mean ± Std,0.687216 ± 0.067365,0.664627 ± 0.108425,0.433627 ± 0.111730
