Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7059620596205962,0.571992110453649,0.42714866618313
2,0.6797829036635007,0.5547169811320755,0.3689184959503733
3,0.6634877384196185,0.7246376811594203,0.3762126537097397
4,0.597544338335607,0.7255813953488373,0.3417472192410589
5,0.7222982216142271,0.7478260869565218,0.5307575300216896
6,0.6607387140902873,0.5193798449612403,0.3241253136557877
7,0.6812585499316005,0.7268464243845252,0.47719613108966724
8,0.6035665294924554,0.48484848484848486,0.28389774239003823
9,0.7133058984910837,0.7133058984910837,0.46037322392264257
10,0.7733516483516484,0.7881899871630296,0.6634250807558177
11,0.7348901098901099,0.7742690058479532,0.5240366267776458
12,0.5853994490358126,0.5592972181551976,0.3347689608061257
13,0.7103448275862069,0.717741935483871,0.47023424168860556
14,0.7848275862068965,0.806930693069307,0.6448471028188576
15,0.7674094707520891,0.7044247787610619,0.5301655814065077
16,0.7146853146853147,0.7265415549597856,0.5094140440277622
17,0.5818181818181818,0.6527293844367015,0.23347711965048737
18,0.6637806637806638,0.43855421686746987,0.3379405642942548
Mean ± Std,0.685803 ± 0.061276,0.663212 ± 0.108690,0.435483 ± 0.116273
