Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6124661246612466,0.5152542372881356,0.3080384351016938
2,0.5956580732700135,0.5883977900552486,0.2740496178613063
3,0.5340599455040872,0.5,0.055030944127861435
4,0.592087312414734,0.6419161676646706,0.3071084557683564
5,0.6114911080711354,0.6536585365853659,0.30222905458372873
6,0.4911080711354309,0.5396039603960396,-0.02390313992857781
7,0.5950752393980848,0.642512077294686,0.19094673300163295
8,0.5610425240054869,0.5800524934383202,0.24910267814348863
9,0.6406035665294925,0.6361111111111111,0.2812204949233988
10,0.6497252747252747,0.7346514047866806,0.3739360663408991
11,0.6043956043956044,0.6704805491990846,0.23974154708566361
12,0.41735537190082644,0.28907563025210087,0.1740356383501689
13,0.5903448275862069,0.6460071513706794,0.20513126192696227
14,0.47448275862068967,0.603537981269511,0.17664077629509553
15,0.596100278551532,0.4784172661870504,0.22438541015393212
16,0.4881118881118881,0.42990654205607476,0.10920633462395637
17,0.5972027972027972,0.6022099447513812,0.30429230257123036
18,0.4083694083694084,0.019138755980861243,0.021774064925499027
Mean ± Std,0.558871 ± 0.070820,0.542830 ± 0.162155,0.209609 ± 0.105991
