Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.5826558265582655,0.4634146341463415,0.23278661345877322
2,0.5970149253731343,0.44485981308411215,0.16055777038933366
3,0.611716621253406,0.6603098927294399,0.3695838818346564
4,0.36289222373806274,0.4816870144284129,0.14259501511156897
5,0.612859097127223,0.5868613138686132,0.3291917608395516
6,0.6114911080711354,0.4409448818897638,0.19271925943638432
7,0.6867305061559508,0.7346465816917729,0.47217169148135196
8,0.5459533607681756,0.4283246977547496,0.10617201164920152
9,0.635116598079561,0.6707920792079208,0.32161452597086754
10,0.6195054945054945,0.6584463625154131,0.3227797566157905
11,0.5796703296703297,0.5363636363636364,0.4261124810830318
12,0.5041322314049587,0.3771626297577855,0.13569419650583076
13,0.6137931034482759,0.5625,0.3509946643697574
14,0.5724137931034483,0.6045918367346939,0.2953809115230964
15,0.7298050139275766,0.6325757575757576,0.45219187152405427
16,0.46153846153846156,0.5006485084306096,-0.054732770549288386
17,0.579020979020979,0.6116129032258064,0.3868478124740561
18,0.6594516594516594,0.42995169082125606,0.39779631374223284
Mean ± Std,0.586987 ± 0.080458,0.545872 ± 0.101171,0.280025 ± 0.137151
