Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7005420054200542,0.5405405405405406,0.38446355047226105
2,0.6119402985074627,0.5666666666666667,0.2844462253087038
3,0.7356948228882834,0.7427055702917772,0.5450960407960632
4,0.6221009549795361,0.6729634002361276,0.23168937179696295
5,0.6210670314637483,0.6037195994277539,0.4282606860426138
6,0.4528043775649795,0.46236559139784944,-0.17860759761176925
7,0.667578659370725,0.6927939317319848,0.3397668544908162
8,0.6296296296296297,0.5700636942675159,0.26241841995573867
9,0.5541838134430727,0.47495961227786754,0.09590502901577114
10,0.33516483516483514,0.38578680203045684,-0.05529350547094569
11,0.6304945054945055,0.5880551301684533,0.41633312429134406
12,0.6391184573002755,0.3247422680412371,0.15553128651763937
13,0.670344827586207,0.7137724550898203,0.4321037521962844
14,0.5944827586206897,0.7215909090909091,0.2500972447550575
15,0.5348189415041783,0.4612903225806452,0.1592218014138841
16,0.5972027972027972,0.4146341463414634,0.11083261566004093
17,0.6909090909090909,0.6783114992721979,0.4397238738307445
18,0.4155844155844156,0.024096385542168676,0.09074916256358784
Mean ± Std,0.594648 ± 0.100664,0.535503 ± 0.173282,0.244041 ± 0.183395
