Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6598915989159891,0.5493716337522442,0.3338523796556295
2,0.5712347354138398,0.5123456790123457,0.2549333506436401
3,0.5599455040871935,0.532561505065123,0.08011591695252768
4,0.5770804911323328,0.6282973621103117,0.22438935852343767
5,0.5978112175102599,0.6628440366972477,0.2798317890357347
6,0.5225718194254446,0.43066884176182707,0.06902932319858412
7,0.5896032831737346,0.6445497630331753,0.17002562510748895
8,0.5939643347050755,0.5568862275449101,0.210578090646373
9,0.5953360768175583,0.607190412782956,0.21894972102842994
10,0.6662087912087912,0.7476635514018691,0.315329862862988
11,0.6318681318681318,0.6624685138539043,0.2888275480116627
12,0.40633608815426997,0.28524046434494194,0.15289694192556547
13,0.6372413793103449,0.7216931216931217,0.2220541578751894
14,0.44551724137931037,0.5714285714285714,0.1897360456500698
15,0.616991643454039,0.5217391304347826,0.2787964912836331
16,0.4783216783216783,0.40887480190174325,0.08546716394804582
17,0.606993006993007,0.6187245590230664,0.31997277669442037
18,0.5295815295815296,0.012121212121212121,0.01578240875182485
Mean ± Std,0.571472 ± 0.069250,0.537482 ± 0.168452,0.206143 ± 0.091826
