Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6463414634146342,0.5121495327102804,0.309400102847708
2,0.6390773405698779,0.44583333333333336,0.22493638158307483
3,0.6825613079019074,0.8107229894394801,0.15286737552372248
4,0.8949522510231923,0.9424083769633508,0.45251032775046335
5,0.5745554035567716,0.5008025682182986,0.20561547386974688
6,0.6621067031463749,0.46881720430107526,0.26229199730871416
7,0.47058823529411764,0.424962852897474,0.279824087161374
8,0.6502057613168725,0.4720496894409938,0.25600927968253295
9,0.6049382716049383,0.5739644970414202,0.2817472142369382
10,0.5947802197802198,0.568081991215227,0.37326358600542614
11,0.6428571428571429,0.6683673469387755,0.28597203997322435
12,0.6391184573002755,0.5893416927899686,0.329007495650264
13,0.646896551724138,0.6085626911314985,0.3271656408490079
14,0.6758620689655173,0.6983311938382541,0.5162298859270888
15,0.6949860724233984,0.6380165289256199,0.40674501102304556
16,0.73006993006993,0.7174231332357247,0.4572559459546939
17,0.5902097902097903,0.6257982120051085,0.45566340799668403
18,0.5800865800865801,0.28501228501228504,0.10299360678766493
Mean ± Std,0.645566 ± 0.082224,0.586147 ± 0.148152,0.315528 ± 0.108618
