Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6693766937669376,0.5307692307692308,0.3175082541433923
2,0.6105834464043419,0.5408,0.2698560494392007
3,0.49318801089918257,0.6605839416058394,0.09554115695441157
4,0.6193724420190996,0.7452054794520548,0.08975085895368932
5,0.43912448700410395,0.514218009478673,-0.030486779429929667
6,0.560875512995896,0.5759577278731837,0.132255076737738
7,0.518467852257182,0.5,0.11124659185386869
8,0.5829903978052127,0.5542521994134897,0.28313947088950386
9,0.5679012345679012,0.5480631276901005,0.21034056231920556
10,0.6016483516483516,0.7016460905349794,0.26107822884124937
11,0.6593406593406593,0.6574585635359116,0.414794789328276
12,0.44490358126721763,0.30397236614853196,0.21772463987415303
13,0.5958620689655172,0.6457073760580411,0.23706968915587073
14,0.46206896551724136,0.586864406779661,0.2742678679722199
15,0.6504178272980501,0.5905383360522023,0.34266221054490265
16,0.6755244755244755,0.55893536121673,0.41778899674276754
17,0.7090909090909091,0.6904761904761905,0.4956316258348344
18,0.4444444444444444,0.020356234096692113,0.03496815360381939
Mean ± Std,0.572510 ± 0.084804,0.551434 ± 0.160347,0.231952 ± 0.136520
