Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7140921409214093,0.5754527162977867,0.4326799689054282
2,0.6824966078697422,0.5584905660377358,0.4363900362001081
3,0.6512261580381471,0.7057471264367816,0.36497210020267506
4,0.5948158253751705,0.7226890756302521,0.32280823820762916
5,0.7058823529411765,0.6950354609929078,0.48223208526128675
6,0.6757865937072504,0.5398058252427185,0.33970961989602927
7,0.6922024623803009,0.7428571428571429,0.48720589466549413
8,0.6035665294924554,0.4938704028021016,0.2891970090236423
9,0.6982167352537723,0.7142857142857143,0.4270170497156304
10,0.7527472527472527,0.7738693467336684,0.567857566108358
11,0.7184065934065934,0.7550776583034647,0.5090237951177828
12,0.5234159779614325,0.5541237113402062,0.32453836013481674
13,0.7268965517241379,0.7317073170731707,0.4889310128541927
14,0.8068965517241379,0.8241206030150754,0.6510009984843883
15,0.7479108635097493,0.6830122591943958,0.4950459363184597
16,0.7314685314685314,0.7272727272727273,0.49765238271578033
17,0.5720279720279721,0.6506849315068494,0.20867864138734293
18,0.6262626262626263,0.4282560706401766,0.34662908256961666
Mean ± Std,0.679129 ± 0.069779,0.659798 ± 0.105594,0.426198 ± 0.106176
