Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6775067750677507,0.0,0.07148027344822476
2,0.4599728629579376,0.4884318766066838,-0.07892684403024518
3,0.4822888283378747,0.6415094339622641,-0.061288278687129036
4,0.6316507503410641,0.7352941176470589,0.11794269929581411
5,0.36388508891928867,0.0,0.04447045515807799
6,0.4911080711354309,0.0,0.12465543065551349
7,0.5704514363885089,0.6687763713080169,0.12627349548521644
8,0.6117969821673526,0.4212678936605317,0.10660219946399327
9,0.4869684499314129,0.0,-0.033735179493793066
10,0.6071428571428571,0.7547169811320755,-0.3414319014050995
11,0.5590659340659341,0.7171806167400882,-0.1480486228855813
12,0.8581267217630854,0.0,-0.1596032121594536
13,0.6248275862068966,0.6887871853546911,0.26671126506812104
14,0.16689655172413792,0.21354166666666666,-0.2512688555649122
15,0.41643454038997213,0.5621734587251829,-0.010694744319183505
16,0.7328671328671329,0.0,-0.11702111436364047
17,0.5174825174825175,0.3692870201096892,0.1967352441289546
18,0.9927849927849928,0.0,-0.007443624807075425
Mean ± Std,0.569514 ± 0.178595,0.347831 ± 0.306785,-0.008588 ± 0.153559
