Fold,Test_MSE,Test_Pearson
1,0.04382479007172614,0.6082892948122459
2,0.035035754000715486,0.4047521747416207
3,0.03021100148011627,0.43091492242982465
4,0.027789210956647516,0.4434917788009164
5,0.02601847775294933,0.537520537417113
6,0.028034054066233962,0.5289251582319563
7,0.026747564246975088,0.5067056026401248
8,0.02457950047533921,0.49429669294756207
9,0.02088881871981236,0.5228575919282807
10,0.03532868749774183,0.6552260088379448
11,0.022510283499137265,0.6086887471601379
12,0.017062843958935158,0.42261841371877784
13,0.017403172563290575,0.507553751281609
14,0.021415038017501584,0.7156121118177768
15,0.036295118358189146,0.552475674265227
16,0.019741632663554453,0.5994417220435527
17,0.02909762995340609,0.23299169211398077
18,0.045813100682389876,0.4139819096929912
Mean ± Std,0.028211 ± 0.008119,0.510352 ± 0.107873
