Fold,Test_MSE,Test_Pearson
1,0.015207409833600326,0.3525801465241628
2,0.00995540644277968,0.35140982315854896
3,0.012485807623241727,0.058140807774475965
4,0.010575758350862552,0.236675573774863
5,0.017403651296717778,0.32781809401518436
6,0.013837986666799251,0.21396260752876528
7,0.013066247830442676,0.22708423106852707
8,0.012861432836643325,0.16357350419656574
9,0.014580124116062285,0.15031087628362172
10,0.02482476488045646,0.3435949227020953
11,0.02139785177080105,0.2529910389190526
12,0.014159689273211897,0.16971134103982594
13,0.006192166052246004,0.12441926266295833
14,0.04293054143054096,0.490970376437593
15,0.0076831488112788365,0.22802596508942466
16,0.014865577577192642,0.21951145284716014
17,0.014795098582583464,0.4133491059036573
18,0.023676675594373663,-0.1173566693167131
Mean ± Std,0.016139 ± 0.008057,0.233710 ± 0.135483
