Fold,Test_MSE,Test_Pearson
1,0.020807178647821015,0.31253617659766975
2,0.010720579142177257,0.21069994188602298
3,0.011826624621496949,-0.012299248614966056
4,0.009532441864006124,-0.008284113750453103
5,0.017337814604591918,0.12980521930540373
6,0.014668868008790758,0.0321047020416677
7,0.013246677786716619,0.1473319415236809
8,0.012578095031907745,0.26480365198115297
9,0.011846150600674336,0.2231083170295017
10,0.021730607712151292,0.2678739719910548
11,0.02219338571777443,0.15930075004368147
12,0.013950911920934193,0.04647388150023581
13,0.004772359988207465,0.0529720396962802
14,0.04021802265852073,0.38186664352670774
15,0.009536032420765894,0.17078386496765174
16,0.01532279564879398,0.05713434921941901
17,0.01710736598107215,0.07863772167228941
18,0.031233725927273314,-0.07820473368914815
Mean ± Std,0.016591 ± 0.008191,0.135369 ± 0.121240
