Fold,Test_MSE,Test_Pearson
1,0.07115758635096091,0.3019893609179776
2,0.03861013530810358,0.35347666061141103
3,0.03448530131213839,0.0061297127072459726
4,0.0340562151816632,0.2566405206647019
5,0.03554819036517592,0.0889812833143184
6,0.029343043889831912,0.2895067172077786
7,0.03165244151827717,0.2228748261359527
8,0.02770674905267525,0.31652050826917594
9,0.027354573838455725,0.30534718215698636
10,0.05539459935005269,0.2691412014631863
11,0.037704496884112315,0.044654418857020595
12,0.01272939835715531,0.18613935943255078
13,0.02321167758793412,0.13651628598087567
14,0.036361007704815436,0.4432768324045743
15,0.04881407172269663,0.32115958562727054
16,0.02927718191403199,0.3967895098796183
17,0.02715702609304978,0.2568190621076652
18,0.05525902357081123,0.09380625140195531
Mean ± Std,0.036435 ± 0.013323,0.238321 ± 0.118810
