Fold,Test_MSE,Test_Pearson
1,0.017448658807200555,0.3163027559885222
2,0.010427864482561713,0.25961500752229255
3,0.011435216086022614,0.06950229640792004
4,0.009548250512324998,-0.06643992290547328
5,0.019750995549583802,-0.0058527162150250125
6,0.014886880183032827,0.1470470265211885
7,0.012257107543205801,0.4848075456361448
8,0.01455150607620905,-0.09521587443028742
9,0.011808303259762775,0.292854026004953
10,0.024104634706784027,0.15732252305582306
11,0.02257186931889927,0.05117673616157467
12,0.011195270884345855,0.1424736142907636
13,0.0045079484542329944,0.26726478418386224
14,0.04502461323583277,0.2507117367210044
15,0.009527024114456424,-0.04040633041038354
16,0.013502249903633325,0.2476207777332995
17,0.014514327458811016,0.5600660910048808
18,0.028623857577448376,-0.06442453642974053
Mean ± Std,0.016427 ± 0.008998,0.165246 ± 0.182488
