Fold,Test_MSE,Test_Pearson
1,0.049928068919162745,0.5944838518394715
2,0.02895157900490615,0.5137893393639952
3,0.026446663530276655,0.34609590007193347
4,0.026858344338299086,0.47100910745198077
5,0.03172368582401371,0.4881223935290067
6,0.02496694826053408,0.5559313924891907
7,0.024278914488774006,0.5079139223268562
8,0.023462872538439258,0.47856113235501463
9,0.020618256891473983,0.5291202579177672
10,0.02349277263213398,0.5992296960467908
11,0.032485585103533686,0.6881503169633867
12,0.018733714485561565,0.3613712310821809
13,0.016683321786193653,0.5418928010184029
14,0.02120225129043625,0.7267861064606205
15,0.03253937844113571,0.6196964990826206
16,0.02182123809455313,0.546932517197048
17,0.02937933107310136,0.22659788941649328
18,0.04635191348642135,0.4011540547293375
Mean ± Std,0.027774 ± 0.008481,0.510935 ± 0.118985
