Fold,Test_MSE,Test_Pearson
1,0.016809919680058513,0.3076930816914495
2,0.009135745316288966,0.40591662246783694
3,0.016361475652011303,-0.03118503037965354
4,0.010175392880074565,0.2360620845328376
5,0.013310318730321869,0.26825004920798023
6,0.018884777947413847,0.30830703223368217
7,0.015378799022374502,0.18743394870913557
8,0.012181614677009353,0.25737690705948557
9,0.012341496232299519,0.1787996505584649
10,0.020637752926810745,0.3063627910757404
11,0.02440493598497399,0.3763808662615755
12,0.016652629938520506,0.10730487741319854
13,0.0049677013231526615,0.19303200871468584
14,0.0395553914351324,0.4780426463683564
15,0.008605076431816992,0.13936778976903227
16,0.015495211601842487,0.16277499254316158
17,0.01488218144243091,0.4065879059395315
18,0.022372767224300993,-0.13225516914393484
Mean ± Std,0.016231 ± 0.007419,0.230903 ± 0.148764
