Fold,Test_MSE,Test_Pearson
1,0.06764028913459552,0.5307639739542622
2,0.03625764151856375,0.4326605527722411
3,0.027407940693240058,0.3623869196028845
4,0.03519980834980944,0.16097190845145531
5,0.03350159648519308,0.44682850124342066
6,0.0298634860828736,0.27290891476034534
7,0.03007067690659386,0.498071732989718
8,0.027200948237170418,0.40013837045046796
9,0.029952400411555124,-0.13969518403513057
10,0.05346162071527065,0.6486677183877358
11,0.03616241965700878,0.3807330593228558
12,0.012084394351518712,0.2790020783528358
13,0.022638657349737946,0.1787156842839361
14,0.03758101096728999,0.5822650834731744
15,0.05090835234288846,0.10449924123561108
16,0.030431952568401196,0.2538726151563914
17,0.02980314619126862,0.15770519021002471
18,0.05828179924329486,0.0472706888196724
Mean ± Std,0.036025 ± 0.013155,0.310987 ± 0.197788
