Fold,Test_MSE,Test_Pearson
1,0.06738878145877829,0.24851441970443386
2,0.037125154795610626,0.06784880434663372
3,0.027206882812718842,0.4766479442447315
4,0.030532402984225646,0.3176032522455429
5,0.03540364711689186,0.1269543831187468
6,0.023229261318796924,0.24696490409688632
7,0.03775163489538805,0.20581765192427498
8,0.02688505851859285,0.3864890406059021
9,0.028032891466384307,0.16593757762993888
10,0.05819933490562483,0.024675385610454233
11,0.03983082886816347,-0.06119414077232892
12,0.012363568594197297,-0.1012018154707639
13,0.025167350573730544,0.09035665154361854
14,0.047450717343360135,0.1431210128052772
15,0.05016801555546445,0.18753112815945677
16,0.03138372977050238,0.23215601631467608
17,0.027029533375930528,0.43355299526291335
18,0.055359646324522754,-0.2584233284893159
Mean ± Std,0.036695 ± 0.013724,0.162964 ± 0.182549
