Fold,Test_MSE,Test_Pearson
1,0.019283277102386996,0.0023792697928759193
2,0.011054939568306736,0.17635530445659794
3,0.010628890689688638,0.5461325914539172
4,0.009011030638209641,0.22208811825367047
5,0.01688497057614109,0.42944114200742056
6,0.014892697404090745,-0.04904946961964692
7,0.012302138308075096,0.3499325128185703
8,0.012417776362854578,0.32989982535637113
9,0.012269052869843627,0.060602938620333224
10,0.02002106221798176,0.21524126960630852
11,0.021881527609485633,0.3394692405895662
12,0.012928741130055791,0.3022399482452315
13,0.0045101794893043735,0.20674045445391492
14,0.04104293157046844,0.45370551313881713
15,0.008734748758453606,0.19453506353473687
16,0.01548087958536339,-0.033960238276803376
17,0.015931576195178904,0.5615678386178062
18,0.02823715400575521,0.16696805619833177
Mean ± Std,0.015973 ± 0.008088,0.248572 ± 0.178269
