Fold,Test_MSE,Test_Pearson
1,4.490343332747835,-0.31318598487127225
2,2.416725138921828,-0.35255959753702665
3,3.0528590163151197,0.012111599691852465
4,7.538932620517851,0.15601244127887398
5,9.591384331401805,-0.03342225193231228
6,1.625224355097602,-0.04565970561560045
7,16.271343201404253,-0.17929333651872859
8,0.12280260700851992,-0.19875492239654186
9,9.653165898023762,-0.057452054406773076
10,0.9432524087546597,-0.20730818352113178
11,0.34096340545887477,0.17842335916758667
12,0.9367342018463118,0.031278487879123754
13,0.48649456248267536,0.18021743978346222
14,19.717271212747193,0.5137307912137609
15,4.263222503883842,-0.044581137459106746
16,0.2946997095651468,-0.07962936049060373
17,6.793106205819519,-0.39769136686327466
18,1.3557135518970371,-0.06233378537765287
Mean ± Std,4.9941 ± 5.5425,-0.0500 ± 0.2138
