Fold,Test_MSE,Test_Pearson
1,0.018121978473016796,0.10727581570083347
2,0.010537194491583282,0.2758350234985541
3,0.011507740671651069,0.03532166202755826
4,0.009680359295191262,-0.15088860046846442
5,0.018285962200829176,0.27232837291250706
6,0.014266403925849047,0.11335062589080538
7,0.012650308485275303,0.4911704842902961
8,0.012909141126350967,0.15011610020541416
9,0.011808428805623631,0.26779138878467645
10,0.023345474122415846,0.160010054240686
11,0.02318047939373905,-0.10338866837850924
12,0.012093151388526135,0.06884902628034614
13,0.004218744149967157,0.42891139570669257
14,0.044772624527058845,0.366397087753999
15,0.009141262577906173,0.17750904984746496
16,0.01485574685740231,0.11494207550293252
17,0.016714362309183585,0.32254526384618587
18,0.023804060760090756,0.12533336112165883
Mean ± Std,0.016216 ± 0.008620,0.179078 ± 0.163398
