Fold,Accuracy,F1,Pearson_Corr
1,0.7547425474254743,0.6499032882011605,0.5144991901050011
2,0.7096336499321574,0.5931558935361216,0.4634808008479235
3,0.7670299727520435,0.8423963133640553,0.5045502701016776
4,0.810368349249659,0.8883534136546185,0.428013120387026
5,0.7127222982216143,0.53125,0.3804395823047454
6,0.7674418604651163,0.7664835164835165,0.5992592673215252
7,0.6867305061559508,0.731535756154748,0.49687591553933275
8,0.6995884773662552,0.574757281553398,0.37278361537171184
9,0.6995884773662552,0.7364620938628159,0.509369028002716
10,0.7582417582417582,0.7853658536585366,0.5852646207890579
11,0.8008241758241759,0.8284023668639053,0.6633751560139222
12,0.5950413223140496,0.5689149560117303,0.3120439693619618
13,0.7282758620689656,0.7237026647966339,0.5503660124155023
14,0.7420689655172413,0.7605633802816901,0.6052100900615831
15,0.8161559888579387,0.7573529411764706,0.6463544137899727
16,0.7804195804195804,0.7714701601164483,0.5939942919775261
17,0.6727272727272727,0.7352941176470589,0.4039430318771071
18,0.7546897546897547,0.49404761904761907,0.37161531562651284
Mean ± Std,0.7365 ± 0.0535,0.7077 ± 0.1097,0.5001 ± 0.1017
