Fold,MSE,Pearson_Corr
1,0.04056422368201784,0.621965837287938
2,0.020519948845692717,0.6519200758194696
3,0.01340041613615114,0.6015800296002182
4,0.013383264586134069,0.4045348638917392
5,0.021180556930194654,0.5760722624132377
6,0.022926915113247022,0.6096609267096155
7,0.0247806784812386,0.49085863852918643
8,0.021794221715742478,0.5325502223152078
9,0.024050730520669892,0.4670533822885755
10,0.019535019238339845,0.6701468968844426
11,0.027087885098734072,0.7404460862203407
12,0.01754958621731785,0.2357926538820091
13,0.014275711898181907,0.6025983150683065
14,0.02215247382152611,0.6836270172840385
15,0.0294023783387143,0.6610631789425201
16,0.02058982741102446,0.5718894381601911
17,0.022864228904170822,0.5067583502010989
18,0.03598491939392254,0.4619721974286967
Mean ± Std,0.0229 ± 0.0069,0.5606 ± 0.1166
