Fold,MSE,Pearson_Corr
1,0.014599570713318142,0.42009850854576924
2,0.009971200081755139,0.4704734513952357
3,0.008029092525386071,0.5504465897880656
4,0.007822263418846544,0.44032626449646384
5,0.014605161391943882,0.3044633829842203
6,0.013147211765711236,0.577920675788526
7,0.012033940497500405,0.461972679011613
8,0.009081053011523028,0.5920766926240517
9,0.010108247211018696,0.45066103773616245
10,0.014444786028617465,0.6009374057842835
11,0.0200046107276892,0.4170876853767413
12,0.01864576516874338,0.3354559788094563
13,0.00562727954143217,0.5633472049509579
14,0.0219554892089661,0.7368855418428367
15,0.00698374360306927,0.45646590504016554
16,0.013203641361549381,0.3383520095645799
17,0.008026097297881337,0.7392872360396182
18,0.01603536634633347,0.035396448889888514
Mean ± Std,0.0125 ± 0.0046,0.4718 ± 0.1600
